Category,AUROC,BestThr,Precision,Recall,F1,Specificity,BalancedAcc,Error%
bottle,1.00000,0.06967,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
cable,0.98669,0.08299,0.96703,0.95652,0.96175,0.94828,0.95240,4.66667
capsule,0.94216,0.02893,0.90678,0.98165,0.94273,0.52174,0.75170,9.84848
carpet,0.98596,0.02213,0.97727,0.96629,0.97175,0.92857,0.94743,4.27350
grid,0.97410,0.04417,1.00000,0.94737,0.97297,1.00000,0.97368,3.84615
hazelnut,1.00000,0.11502,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
leather,1.00000,0.04912,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
metal_nut,0.99609,0.07732,1.00000,0.97849,0.98913,1.00000,0.98925,1.73913
pill,0.94272,0.04755,0.95105,0.96454,0.95775,0.73077,0.84765,7.18563
screw,0.85960,0.04416,0.79730,0.99160,0.88390,0.26829,0.62994,19.37500
tile,0.99639,0.04977,1.00000,0.97619,0.98795,1.00000,0.98810,1.70940
toothbrush,0.95278,0.07726,0.93333,0.93333,0.93333,0.83333,0.88333,9.52381
transistor,0.97375,0.07399,0.97368,0.92500,0.94872,0.98333,0.95417,4.00000
wood,0.98860,0.04933,0.93750,1.00000,0.96774,0.78947,0.89474,5.06329
zipper,0.98188,0.02905,0.96667,0.97479,0.97071,0.87500,0.92489,4.63576
Mean,0.97205,,0.96071,0.97305,0.96590,0.85859,0.91582,5.05779
